airplane_id, type, accepted, runway_id, wait_time
1, arriving, accepted, 3, 18
2, arriving, accepted, 2, 15
3, arriving, accepted, 2, 12
4, arriving, accepted, 2, 19
5, arriving, accepted, 3, 1
6, departing, accepted, 2, 12
7, arriving, accepted, 2, 9
8, arriving, accepted, 2, 14
9, departing, accepted, 1, 18
10, arriving, accepted, 3, 9
11, departing, accepted, 1, 19
12, departing, accepted, 2, 6
13, arriving, accepted, 2, 14
14, arriving, accepted, 1, 4
15, arriving, declined, NA, NA
16, arriving, declined, NA, NA
17, arriving, accepted, 2, 18
18, departing, accepted, 1, 8
19, departing, accepted, 2, 13
20, departing, accepted, 3, 5
21, departing, accepted, 2, 12
22, arriving, accepted, 1, 3
23, departing, accepted, 2, 17
24, arriving, accepted, 3, 19
25, arriving, accepted, 2, 13
26, arriving, accepted, 1, 5
27, departing, accepted, 3, 17
28, arriving, accepted, 2, 5
29, departing, accepted, 2, 8
30, arriving, accepted, 3, 11
31, arriving, accepted, 2, 7
32, arriving, accepted, 2, 19
33, arriving, accepted, 1, 12
34, departing, accepted, 2, 15
35, arriving, accepted, 1, 6
36, arriving, accepted, 3, 16
37, departing, accepted, 1, 14
38, arriving, accepted, 3, 16
39, arriving, accepted, 2, 10
40, arriving, accepted, 1, 16
41, arriving, accepted, 2, 8
42, arriving, accepted, 3, 2
43, departing, accepted, 2, 12
44, departing, accepted, 2, 18
45, departing, accepted, 2, 19
46, departing, accepted, 1, 5
47, departing, accepted, 1, 7
48, departing, accepted, 1, 6
49, arriving, accepted, 3, 12
50, arriving, accepted, 1, 5
51, arriving, declined, NA, NA
52, departing, accepted, 1, 18
53, departing, accepted, 3, 9
54, arriving, accepted, 2, 8
55, departing, accepted, 2, 9
56, departing, accepted, 2, 5
57, arriving, accepted, 3, 1
58, arriving, accepted, 2, 17
59, arriving, accepted, 3, 9
60, arriving, accepted, 1, 3
61, departing, accepted, 2, 13
62, departing, accepted, 2, 18
63, arriving, accepted, 3, 6
64, arriving, declined, NA, NA
65, departing, accepted, 2, 19
66, departing, accepted, 3, 10
67, arriving, accepted, 3, 8
68, departing, accepted, 2, 13
69, arriving, accepted, 1, 18
70, arriving, accepted, 2, 7
71, arriving, accepted, 3, 7
72, arriving, accepted, 2, 3
73, arriving, accepted, 1, 11
74, departing, accepted, 2, 12
